sec_category,tt_selling_price,items_sold,tt_products,avg_product_sold,avg_selling_price,avg_revenue,20%_profit
Laptops,93198,113,4,28,23299,652372,130474.40000000001
Televisons,610588,1136,34,33,17958,592614,118522.8
Fridges & Freezer,73699,68,3,22,24566,540452,108090.40000000001
Mobile Phones,1557653,5658,146,38,10668,405384,81076.8
Home Theatre,131953,971,27,35,4887,171045,34209.0
Tablets,18480,33,2,16,9240,147840,29568.0
Small Appliance,148492,3781,80,47,1856,87232,17446.4
Video Games,4999,17,1,17,4999,84983,16996.600000000002
Cooking,36028,323,12,26,3002,78052,15610.400000000001
Lighting,47953,514,18,28,2664,74592,14918.400000000001
Home Fixture,56970,1285,32,40,1780,71200,14240.0
Home Appliances,2399,110,2,55,1199,65945,13189.0
"Printers, Scanners & Supplies",15498,109,5,21,3099,65079,13015.800000000001
Storage And Organisation,54914,920,29,31,1893,58683,11736.6
Bags,69119,3962,76,52,909,47268,9453.6
Cooking & Baking,225121,60186,542,111,415,46065,9213.0
Bedding,40762,1306,35,37,1164,43068,8613.6
Detergent Pacs & Tablets,13931,6297,45,139,309,42951,8590.2
Cooling,5583,66,3,22,1861,40942,8188.400000000001
Hi-Fi & Stereo,16867,974,20,48,843,40464,8092.8
Underwear,43632,4331,71,61,614,37454,7490.8
Facial skincare,80078,9121,139,65,576,37440,7488.0
Automotive,11296,402,11,36,1026,36936,7387.200000000001
Camcorders,7575,77,4,19,1893,35967,7193.400000000001
Games & Console Accessories,3378,43,2,21,1689,35469,7093.8
TVs & Video Accessories,83194,3033,86,35,967,33845,6769.0
Socks,802,1050,5,210,160,33600,6720.0
Costumes & Accessories,598,55,1,55,598,32890,6578.0
Storage,60790,4325,90,48,675,32400,6480.0
Wearable Technology,7169,164,6,27,1194,32238,6447.6
Mobile Accessories,121894,5249,140,37,870,32190,6438.0
Peripherals & Accessories,55327,2137,61,35,907,31745,6349.0
Fragrances,5611,339,8,42,701,29442,5888.400000000001
Kids,1900,15,1,15,1900,28500,5700.0
Other Cameras & Accessories,14881,267,12,22,1240,27280,5456.0
Shirts,22920,532,21,25,1091,27275,5455.0
Sneakers,1599,17,1,17,1599,27183,5436.6
adulte,4930,91,4,22,1232,27104,5420.8
Dresses,6663,687,13,52,512,26624,5324.8
Casual shoes,53459,1611,57,28,937,26236,5247.200000000001
Hair care,51490,2032,63,32,817,26144,5228.8
Tobacco-Related Products,3164,128,4,32,791,25312,5062.400000000001
Kitchen And Dining,70930,1464,64,22,1108,24376,4875.2
Shirts & Blouses,3397,581,9,64,377,24128,4825.6
Health & relaxation,49614,1413,54,26,918,23868,4773.6
"Other TVs, Audio and Video",12173,635,18,35,676,23660,4732.0
Wallets,3912,300,7,42,558,23436,4687.2
Makeup,45011,2874,74,38,608,23104,4620.8
Fitness,7982,238,9,26,886,23036,4607.2
Bath,13529,325,14,23,966,22218,4443.6
Formal shoes,6095,93,5,18,1219,21942,4388.400000000001
Jeans,4688,73,4,18,1172,21096,4219.2
Others,9103,449,14,32,650,20800,4160.0
Watches,42612,2115,66,32,645,20640,4128.0
Hoodies & sweatshirts,6580,147,7,21,940,19740,3948.0
